Account ID,Account Name,Brand Name,# of Branches,Sector,Contact Person
529217,____ ____ ____ ______ _________,,1,,
392512,_____ _____ _____ ____ _______ ______ _________,,1,,
486411,____ _____ ______ _______,,1,,
543218,____ _____ ______ ______ _________,,2,,
992325,_____ _____ _______ ________,,1,,
998578,____ ___ ____ ______ _______,,1,,
611682,_____ _____ ____ ______ _______,,1,,
965789,Tonin Cafe,,1,,
105984,_____ _____ ______ _______,,1,,
563999,_____ ___ ______ ___ ____ ____ _______ ______ _______,,1,,
129183,____ _________ _________ _________ _______ ________,,1,,
632488,____ ____ ____ ______ _________,,3,,
713249,_____ ________ ______ _______,,1,,
725216,____ ____ __ ____ __ _________ ______ ______ _______,,1,,
415484,_____ ___ ______ ______ _______,,1,,
484760,_____ _______ ____ __ _____ ______ ______ _______,,1,,
879875,____ ____ ______ ______ _______,,1,,
347649,_____ ___ ____ __ ____ ______ ______ _______,,1,,
450567,____ ____ _______ ______ _______,,1,,
609279,_____ ___ ____ ____ _____ ______ _______,,3,,
438840,_____ ____ ___ ______ ________,,1,,
620131,____ ____ _____ _______ _______,,1,,
545479,_____ ___ _____ ______ _________,,2,,
594872,____ ___ ____ _____ _______ ______ _______,,1,,
635598,____ ______ _______ _______,,1,,
563277,New Food Food Company,,2,,
791849,____ ___ ___ __ _____,,1,,
414879,____ _____ ______ ________,,1,,
328553,_____ ____ ______ _______,,1,,
265749,_____ ____ ______ _______ _______,,1,,
909721,____ ____ ___ ______ _______,,1,,
284601,____ ___ ____ __ ___ ________ _______ _______,,1,,
689104,_____ ____ ______ _______,,1,,
979323,_____ ___ ____ ______ _______,,1,,
781223,_____ ____ ______ _______,,1,,
507823,____ _____ _____ _______ _______,,1,,
833867,____ ___ ___ ______ _________,,1,,
545690,____ ___ _______ _______,,2,,
866301,_____ ____ ______ _________,,1,,
965383,_____ ____ ______ ______ _________,,1,,
127168,____ ____ ______ ______ _______,,1,,
921379,____ _____ ______ _____ ________,,2,,
263050,_____ ____ ___ ______ _______,,1,,
986081,____ ___ _______ _______ __________ _______,,1,,
769965,____ _______ _______ ________ _______ _______ ____ ___ ____,,1,,
202307,____ ___ ___ ______ ______ _________ ___ ____,,1,,
570837,_____ _____ ____ _______ ______ ______ _______,,3,,
908716,____ _____ ________,,6,,
573639,_____ _____ ____ _______ ______ ______ _______,,1,,
804819,_____ ___ _____ ______ _________,,2,,
640161,____ ___ ____ ______ _______,,1,,
956599,____ ____ ______ _________,,1,,
655039,_____ ______ ________ ______ _______,,1,,
279992,Company AL-SADRAH CHAIBIAH For Meals (One Partner),,5,,
819455,____ _____ _______ ______ _______,,1,,
834568,Ahmed Saleh Al-Ghamdi fast food restaurant,,1,,
270369,Coffee Equation,,1,,
455834,____ ____ _________ _________,,0,,
249608,____ _____ ______ ______ _______,,1,,
569149,_____ _______ _______ ______ _________,,3,,
253552,_____ _____ ___ __ ________ ______ ______ _________,,1,,
126919,_____ ____ _________ _______ ______ ______ _________,,0,,
751142,_____ ___ _____ ______ _______ B02,,3,,
766599,_____ ___ _________ _________,,1,,
861122,____ ____ ___ ____ ______ _________,,1,,
797550,_____ ___ _____ _______ _______,,1,,
737892,_____ ____ ____ _____ _______ ______ _______,,1,,
445053,_____ _____ ___ ________,,1,,
269596,_____ ___ ________ _______ _______,,1,,
665352,Qahwat almasaa,,1,,
825928,____ ____ ______ ____ ______ _________,,1,,
181014,B'olives,,1,,
677188,____ ____ ______ _________,,2,,
494423,____ ____ ________,,1,,
925712,_____ ___ ____ ___ _____ ________,,1,,
369246,_____ ___ ____ ______ _______,,1,,
164147,____ _____ ______ _ ______ _________ _______ ____ ___ ____,,1,,
493511,_____ ____ _________ _______ ______ _______ _______,,1,,
744074,____ ______ ______ _______ _______ _______,,1,,
983105,____ ____ ________,,1,,
795374,____ ____ ___ ______ _______,,1,,
236203,_____ _____ _______ ______ _______,,1,,
856325,____ ___ ______ _______,,1,,
650005,____ _____ ______ _________,,1,,
409907,____ _____ _____ ______ _________,,1,,
699856,____ _____ ______ _______,,1,,
339310,_____ _____ ____ ____ _______ ______ _______,,3,,
759216,_____ _____,,2,,
805486,She Burger Riyadh,,1,,
805426,____ _____ ___ ______ _________ _______,,1,,
216839,06-Oct,,1,,
671566,____ ___ ___ _______ _______,,1,,
739219,____ _____ ______ ______ _________,,2,,
848883,____ ____ ______ ________,,4,,
644024,_____ _____ ___ ______ _________,,1,,
952978,_____ ______ _______ ______ _______,,2,,
933194,Koshari Station #933194,,1,,
245227,____ _______ ______ _______,,1,,
146698,____ ____ _________ _________,,3,,
945195,_____ ____ ____ _____ _______ ________,,1,,
440379,____ _______ ________,,1,,
846673,____ ____ _______ ______ _________ (____ ___ ____),,1,,
974688,____ _____ ______ ______ _________,,1,,
471514,____ ____ ___ ____ ______ _________,,3,,
909049,_____ ________ ______ ______ _______,,2,,
123153,______ _____ _______ _______,,4,,
619392,_____ _____ _______ _______,,1,,
252456,___ ____ ___ ______ _________,,4,,
373986,____ ____ ______ _________,,6,,
524566,____ _______ __ ___ __ _______ _______ ______ _________ ___ ____,,3,,
876623,____ _________ _____ __ ___ ______ _______ _________,,1,,
813392,____ ___ _____ ______ _______,,1,,
463188,____ ___ _______ _______ _______ ____ ___ ____,,2,,
932809,_____ _____ ____ ____ ________ ______ _______,,1,,
628378,_____ ____ ______ _________,,1,,
176670,____ _____ ______ ______ _______,,3,,
533477,_____ ____ _______ _______,,1,,
657141,_____ ___ ___ ______ _________,,1,,
906308,_____ ____ ______ _______,,1,,
227176,____ ______ ______ _______ _______,,2,,
304982,____ ____ ______ _______,,1,,
926461,____ ____ ____ ______ _________,,1,,
669100,____ ___ ______ ______ _________,,2,,
853491 ,_____ ____ ______ ______ _________,,1,,
635803,_____ _______ ________ ______ _______,,1,,
230211,____ _____ ______ ______ _______,,1,,
441828,_____ ___ _____ _______ _______,,1,,
923720,____ ___ ______ _______,,1,,
113263,_____ ____ ______ _________,,1,,
299879,_____ ____ ____ _______ ______ _______,,1,,
136082,____ ___ _____ ______ _________,,2,,
457002,_____ _____ ____ ___ ________ ______ _______,,1,,
688155,_____ ______ _______ _______ _______,,1,,
234743,____ _____ ______ _________,,1,,
121585,___ ____ ______ ________,,1,,
126497,____ _____ ______ _________ _______,,1,,
